data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Post May 16,X0013203,UNDER CONSTRUCTION,,Docklands,1106,646-666 Flinders Street DOCKLANDS VIC 3008,692622,,,,,41,797,76,358,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,456,TPM-2015-20/A,144.9528362,-37.82121892,"{'lon': 144.9528362, 'lat': -37.82121892}"
Post Oct 22,X0014014,UNDER CONSTRUCTION,,Carlton,261,"532 Elizabeth Street, Melbourne, 3000",103288,,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,278,0,260,0,0,0,8,TP-2022-46/A,144.9597496,-37.80557835,"{'lon': 144.9597496, 'lat': -37.80557835}"
Post May 16,X0008022,UNDER CONSTRUCTION,,West Melbourne (Residential),415,11-17 Ireland Street WEST MELBOURNE VIC 3003,105078,,,,,5,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,TP-2016-851/A,144.9454,-37.8079,"{'lon': 144.9454, 'lat': -37.8079}"
Post May 16,X0004405,UNDER CONSTRUCTION,,Docklands,1108,Victoria Harbour Precinct 938 Collins Street DOCKLANDS VIC 3008,106983,,,,,27,313,0,83,172,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TPM-2018-14,144.9367403,-37.81977616,"{'lon': 144.9367403, 'lat': -37.81977616}"
Post May 16,X0012808,UNDER CONSTRUCTION,,Melbourne (CBD),31,"582-606 Collins Street, Melbourne, 3000",102110,102111,,,,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57810,525,0,0,0,0,0,0,0,80,525,TPM-2016-7/B,144.9549554,-37.8184478,"{'lon': 144.9549554, 'lat': -37.8184478}"
Pre May 16,X000288,COMPLETED,2011,Melbourne (CBD),104,150-154 A'Beckett Street MELBOURNE VIC 3000,100163,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,144.9589709,-37.80959665,"{'lon': 144.9589709, 'lat': -37.80959665}"
Pre May 16,X000449,COMPLETED,2009,North Melbourne,315,North Melbourne Recreation Reserve 204-206 Arden Street NORTH MELBOURNE VIC 3051,100514,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768,101,0,0,0,0,2494,0,0,0,0,0,144.9414326,-37.79892607,"{'lon': 144.9414326, 'lat': -37.79892607}"
Pre May 16,X000395,COMPLETED,2005,Carlton,257,24-30 Barkly Place CARLTON VIC 3053,100732,,,,,6,0,0,0,0,0,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9614476,-37.803003,"{'lon': 144.9614476, 'lat': -37.803003}"
Pre May 16,X000279,COMPLETED,2014,West Melbourne (Residential),101,49-53 Batman Street WEST MELBOURNE VIC 3003,100850,,,,,16,140,0,114,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,144.9515544,-37.81113438,"{'lon': 144.9515544, 'lat': -37.81113438}"
Pre May 16,X000231,COMPLETED,2003,Melbourne (CBD),87,11-21 Bennetts Lane MELBOURNE VIC 3000,101021,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,320,0,0,0,0,0,0,0,0,0,0,144.9676825,-37.80916563,"{'lon': 144.9676825, 'lat': -37.80916563}"
Pre May 16,X000114,COMPLETED,2010,Melbourne (CBD),47,131-135 Bourke Street MELBOURNE VIC 3000,101118,,,,,25,0,0,0,0,0,0,0,0,0,0,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.969468,-37.81300651,"{'lon': 144.969468, 'lat': -37.81300651}"
Pre May 16,X000103,COMPLETED,2007,Melbourne (CBD),44,393-403 Bourke Street MELBOURNE VIC 3000,101147,,,,,8,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6197,0,0,0,0,0,0,0,0,0,0,144.9621906,-37.81513916,"{'lon': 144.9621906, 'lat': -37.81513916}"
Pre May 16,X000136,COMPLETED,2004,Melbourne (CBD),55,General Post Office 338-352 Bourke Street MELBOURNE VIC 3000,101193,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,5110,0,0,0,0,0,0,0,0,0,0,144.9632886,-37.81360352,"{'lon': 144.9632886, 'lat': -37.81360352}"
Pre May 16,X000134,COMPLETED,2009,Melbourne (CBD),55,294-312 Bourke Street MELBOURNE VIC 3000,101195,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9644292,-37.8133313,"{'lon': 144.9644292, 'lat': -37.8133313}"
