census_year,clue_small_area,total
2011-01-01T00:00:00+00:00,Kensington,49
2011-01-01T00:00:00+00:00,Melbourne (CBD),1738
2011-01-01T00:00:00+00:00,Melbourne (Remainder),69
2011-01-01T00:00:00+00:00,North Melbourne,137
2011-01-01T00:00:00+00:00,Parkville,49
2011-01-01T00:00:00+00:00,Port Melbourne,29
2011-01-01T00:00:00+00:00,South Yarra,17
2011-01-01T00:00:00+00:00,Southbank,170
2011-01-01T00:00:00+00:00,West Melbourne (Industrial),9
2011-01-01T00:00:00+00:00,West Melbourne (Residential),73
2012-01-01T00:00:00+00:00,Carlton,346
2012-01-01T00:00:00+00:00,Docklands,246
2012-01-01T00:00:00+00:00,East Melbourne,79
2012-01-01T00:00:00+00:00,Kensington,49
2012-01-01T00:00:00+00:00,Melbourne (CBD),1775
2012-01-01T00:00:00+00:00,Melbourne (Remainder),69
2012-01-01T00:00:00+00:00,North Melbourne,137
2012-01-01T00:00:00+00:00,Parkville,49
2012-01-01T00:00:00+00:00,Port Melbourne,29
2012-01-01T00:00:00+00:00,South Yarra,17
2012-01-01T00:00:00+00:00,Southbank,170
2012-01-01T00:00:00+00:00,West Melbourne (Industrial),9
2012-01-01T00:00:00+00:00,West Melbourne (Residential),84
2013-01-01T00:00:00+00:00,Carlton,346
2013-01-01T00:00:00+00:00,Docklands,246
2013-01-01T00:00:00+00:00,East Melbourne,79
2013-01-01T00:00:00+00:00,Kensington,63
2013-01-01T00:00:00+00:00,Melbourne (CBD),1839
2013-01-01T00:00:00+00:00,Melbourne (Remainder),75
2013-01-01T00:00:00+00:00,North Melbourne,137
2013-01-01T00:00:00+00:00,Parkville,49
2013-01-01T00:00:00+00:00,Port Melbourne,31
2013-01-01T00:00:00+00:00,South Yarra,17
2013-01-01T00:00:00+00:00,Southbank,224
2013-01-01T00:00:00+00:00,West Melbourne (Industrial),9
2013-01-01T00:00:00+00:00,West Melbourne (Residential),84
2014-01-01T00:00:00+00:00,Carlton,363
2014-01-01T00:00:00+00:00,Docklands,308
2014-01-01T00:00:00+00:00,East Melbourne,80
2014-01-01T00:00:00+00:00,Kensington,63
2014-01-01T00:00:00+00:00,Melbourne (CBD),1880
2014-01-01T00:00:00+00:00,Melbourne (Remainder),75
2014-01-01T00:00:00+00:00,North Melbourne,150
2014-01-01T00:00:00+00:00,Parkville,65
